index,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,y
5968,1068570.0,44,499,280,0.0,362,20682.89855,21958.21958,128,31,32140.0,15,499,36,20,36,44,6526.5,21526.0,2652.58,0
7680,1604876.01,77,947,512,0.0,486,32700.71429,53879.36087,199,98,385738.93,7,930,26,11,35,42,3364.0,14094.0,1112.88,1
6762,8500.0,2,50,37,5.22,5,-88888.0,3931.4,8,9,0.0,10,45,0,0,17,19,141.0,449.11,52.22,0
5561,102830.0,18,132,93,0.0,74,1021.875,3868.831169,70,19,32550.0,3,132,30,12,32,29,2767.5,7188.75,1282.5,1
2047,50000.0,-88888,8,-88888,0.0,8,83.33333333,1746.428571,5,2,10500.0,1,8,4,4,2,3,111.0,444.0,46.25,0
4296,13560.05,3,30,6,28.44,17,1370.0,1092.272727,7,14,0.05,9,23,4,2,3,4,512.0,1564.44,312.89,0
6936,75096.3,21,102,72,0.0,74,10834.16667,10022.95082,45,13,14091.3,4,102,34,13,32,45,1232.0,2895.2,369.6,1
3537,4050.0,0,16,1,0.0,10,430.0,600.0,0,0,50.0,5,16,0,0,0,0,1.5,6.0,0.0,1
5630,74.2,-88888,20,16,0.0,-88888,-88888.0,-88888.0,0,0,74.2,5,20,-88888,-88888,2,1,13.0,73.67,4.33,0
4328,17565.82,19,26,23,0.0,17,-88888.0,656.25,35,7,389.87,5,26,3,2,3,1,80.0,206.4,42.4,1
4900,13288.0,4,206,154,0.0,137,13290.17857,15654.95455,18,8,702.85,3,206,50,27,24,53,8165.0,20945.0,479.25,0
1648,3000.0,-88888,8,-88888,0.0,8,423.0769231,388.8888889,6,2,-88888.0,0,8,2,2,2,2,24.0,69.0,10.5,1
4533,700060.0,-88888,33,0,0.0,22,-88888.0,34652.77778,5,8,10.0,5,33,4,4,8,6,71.5,188.5,32.5,1
6966,10000.0,-88888,9,4,0.0,5,0.0,1072.222222,3,1,0.0,4,9,2,2,5,5,46.0,174.8,41.4,0
7750,65124.06,4,216,35,0.0,146,3890.452857,5858.749921,85,51,1050.0,13,199,11,4,27,25,805.5,7495.62,1040.44,0
